%time,field.header.seq,field.header.stamp,x,y,z
1684310330481410368,7375,1684310330481028556,0.08012172183953226,0.6512673026882112,57.5733
1684310330528443424,7376,1684310330528002023,0.09725742659065872,0.6875180960632861,57.5579
1684310330579596352,7377,1684310330578521490,0.11128828447544947,0.7227190104313195,57.5681
1684310330627796768,7378,1684310330627390623,0.1221934548811987,0.7557621649466455,57.5647
1684310330677563616,7379,1684310330677127122,0.1452888031490147,0.7808181084692478,57.5588
1684310330727179648,7380,1684310330726740837,0.1642721380922012,0.8059513946063817,57.5722
1684310330777214432,7381,1684310330776783943,0.1771291252807714,0.8334164591506124,57.5712
1684310330827130208,7382,1684310330826819181,0.17765007098205388,0.8611135492101312,57.5661
1684310330877321088,7383,1684310330876951217,0.17913650878472254,0.8854676536284387,57.5442
1684310330927595616,7384,1684310330927184820,0.18479747092351317,0.9130680658854544,57.5421
1684310330977728512,7385,1684310330977319478,0.20596183987800032,0.944809983484447,57.5604
1684310331027617600,7386,1684310331027312278,0.21581816917750984,0.9767645890824497,57.583
1684310331077653792,7387,1684310331077326536,0.23077283916063607,1.0064067509956658,57.5768
1684310331127588544,7388,1684310331127201080,0.23232178896432742,1.0340845054015517,57.5635
1684310331178143456,7389,1684310331176961421,0.2338498999015428,1.0606543766334653,57.5477
1684310331226941568,7390,1684310331226602554,0.24253236001823097,1.0848731324076653,57.5382
1684310331283538944,7391,1684310331283185243,0.2440187963657081,1.1092272368259728,57.5477
1684310331328750496,7392,1684310331328334331,0.24961724621243775,1.1335039981640875,57.5329
1684310331379065088,7393,1684310331378495454,0.2551531824283302,1.1544571095146239,57.5468
1684310331430175808,7394,1684310331429666757,0.260834984772373,1.183165406808257,57.5412
1684310331478055712,7395,1684310331477705001,0.2695382814272307,1.2084920462220907,57.5313
1684310331527799648,7396,1684310331527406930,0.28336076013511047,1.2326141251251101,57.5375
1684310331578043392,7397,1684310331577718257,0.2870073917438276,1.262468975968659,57.5544
1684310331627318656,7398,1684310331626984357,0.2927308683283627,1.2933930405415595,57.5722
1684310331676743552,7399,1684310331676294803,0.29020947933895513,1.323363902978599,57.5788
1684310331727505088,7400,1684310331727091312,0.29889194056158885,1.3475826592184603,57.5605
1684310331777443552,7401,1684310331777038097,0.30556006875121966,1.3740558540448546,57.5561
1684310331827621600,7402,1684310331827213287,0.31432587996823713,1.4027061434462667,57.5566
1684310331877839168,7403,1684310331877425193,0.32936390198301524,1.4367798399180174,57.5515
1684310331927524128,7404,1684310331927163124,0.3515979486401193,1.4707181882113218,57.5524
1684310331974897536,7405,1684310331974497795,0.3717759880819358,1.504695207811892,57.5505
1684310332024906176,7406,1684310332024616479,0.3899188578943722,1.539818781428039,57.5531
1684310332077934048,7407,1684310332077458143,0.4100968970451504,1.5737958010286093,57.5449
1684310332127855712,7408,1684310332127525568,0.43742928525898606,1.6054217056371272,57.5517
1684310332177636384,7409,1684310332177311897,0.46589386533014476,1.6425676918588579,57.5704
1684310332224938304,7410,1684310332224577903,0.4840575713897124,1.6787991495802999,57.5774
1684310332283244064,7411,1684310332282904148,0.5021587664377876,1.7117069559171796,57.5737
1684310332329828800,7412,1684310332328991413,0.5203016357845627,1.746830529998988,57.5769
1684310332378883520,7413,1684310332378577470,0.531373507459648,1.788736753165722,57.563
1684310332429289408,7414,1684310332429013729,0.5546563952811994,1.8237636499106884,57.5506
1684310332481066368,7415,1684310332480433702,0.5705973912263289,1.8511707088910043,57.5738
1684310332527796992,7416,1684310332527391195,0.5961238263989799,1.8961298875510693,57.5681
1684310332578415424,7417,1684310332578052759,0.6101755201234482,1.932438686490059,57.5784
1684310332624916480,7418,1684310332624469041,0.6201568737160414,1.9710405939258635,57.5894
1684310332677360160,7419,1684310332677004575,0.6269291903008707,2.003053206484765,57.59
1684310332727415488,7420,1684310332726994276,0.6387790121953003,2.0316454912535846,57.6069
1684310332777343488,7421,1684310332776960849,0.6577415058272891,2.055670893751085,57.609
1684310332824834464,7422,1684310332824343204,0.6675144825130701,2.083193965256214,57.5969
1684310332877423872,7423,1684310332877072095,0.6895401495276019,2.1060534776188433,57.5905
1684310332927278176,7424,1684310332926942348,0.7044531421852298,2.1334798727184534,57.59
1684310332977339904,7425,1684310332977032661,0.7183798086480238,2.1631413702853024,57.5915
1684310333027498240,7426,1684310333027181625,0.7456288440735079,2.1903357403352857,57.6054
1684310333076750016,7427,1684310333076274156,0.7687867028289475,2.2187153357081115,57.5976
1684310333127767488,7428,1684310333127454757,0.7807615509955212,2.2539549223147333,57.59
1684310333177335456,7429,1684310333177064895,0.7907845795853063,2.294772596564144,57.5635
1684310333224652640,7430,1684310333224260568,0.8099554519867525,2.3298768354579806,57.5553
1684310333283488704,7431,1684310333283133029,0.838232489884831,2.3570518703199923,57.5487
1684310333327409344,7432,1684310333326997041,0.8634046810911968,2.383177028503269,57.5502
1684310333379106560,7433,1684310333378697395,0.8940086170914583,2.4247158798389137,57.5739
1684310333426921376,7434,1684310333426382064,0.9265852077514865,2.461784526705742,57.602
1684310333474595136,7435,1684310333474222421,0.9497847426100634,2.4923798888921738,57.6059
1684310333526890272,7436,1684310333526586771,0.9749360943678766,2.5173971634358168,57.6173
1684310333577389504,7437,1684310333577057361,0.9908562524942681,2.5436963397078216,57.6087
1684310333624039712,7438,1684310333623639345,1.015042113198433,2.572056599892676,57.6025
1684310333676435424,7439,1684310333676135063,1.0413673320435919,2.6048097242601216,57.5971
